No_overall,"No in
season",Title,Original airdate,Losing Joker(s),"U.S. viewers
(millions)"
85,10,"""Joke & Dagger""","April 9, 2015",Murr,0.95[80]
"The jokers annoy art-loving patrons at a gallery opening, and pass bizarre judgements on unsuspecting grocery store shoppers.
Punishment: At the Coney Island circus sideshow performance, Murr is forced to volunteer for the brand new ""Wheel of Doom"" stunt, in which he is placed on a spinning wheel surrounded by balloons, which are to be popped with knives. However, the machine is actually rigged to pop the balloons on its own, and the stunt performer is only faking throwing the knives.",,,,,
86,11,"""Psuedo-Sumo""","April 16, 2015",Joe,1.09[81]
"The guys team up to work at a rink rental counter, tell strangers to mind their manners at the mall, and convince strangers to leave a cafe.
Punishment: For Joe's punishment he has to wear a baby costume and is misled that he must perform in a baby commercial although his real punishment is revealed to be fighting the 2009 US Champion sumo wrestler, Ulambayar Byambajav (referred to as Byamba).",,,,,
87,12,"""Car Sick""","April 23, 2015",Q,1.05[82]
"The guys go head-to-head participating in a focus group again and go head-to-head playing a toilet paper battle at the grocery store.
Punishment: Q has to eat a messy 3-course meal in his Jeep as a stuntman drives the truck along an obstacle course. At one point he is joined by a guest named, ""Sloppy Joe,"" a shirtless overweight man who messily drinks milk.",,,,,
88,13,"""Cruisin' For A Bruisin'""","May 7, 2015","Murr, then Joe",1.08[83]
"The guys set sail for a special cruise ship mid-season finale episode. They make the pool deck their own playground, and team up to give out misinformation as entertainment directors.
Punishments: Murr and Joe are given 2 different separate punishments. First, Murr poses as the ship's Master of Ceremonies and has to read a speech written by the other Jokers. Then, Joe has to interrupt a cannonballing competition at one of the pools, and must continuously belly-flop into the water until the others allow him to stop.",,,,,
89,14,"""Bathroom Break""","July 16, 2015",Sal,1.33[84]
"The guys work to do what they're told while selling auto parts, and team up to try to reel in unsuspecting shoppers' luggage using a fish hook at the mall.
Punishment: The three other Jokers make Sal put his hands into sludge to grab a toy fire truck that meant nothing for his punishment, just so they can have the perfect opportunity to make him go wash his hands while locked in a bathroom controlled by them. He must complete a set of riddles to escape. This features a special guest appearance from Sal's father at the end of the punishment.",,,,,
90,15,"""Kill the Centaur""","July 23, 2015",Murr,1.01[85]
"The guys use their bad service skills as sporting goods salesmen, and compete head-to-head in a game called ""Do It Better"" on the streets.
Punishment: Murr is dressed in ridiculous outfits as he plays a ring card girl at a televised boxing match.",,,,,
91,16,"""Captain Fatbelly""","July 30, 2015",Joe,0.93[86]
"The guys lend an unhelpful hand as high-tech store employees, and search for bizarre perps on the loose in the mall.
Punishment: Under the original impression that the Jokers would be completing challenges aboard the Roosevelt Island Tramway, Joe must instead complete challenges on top of the tram as it travels high above the waters of Staten Island while dressed as a fictional superhero, Captain Fatbelly.",,,,,
92,17,"""Sneaking Number Twos, Going Number One""","August 6, 2015",Sal,0.88[87]
"The guys compete in another game of ""Put-Pocket"" at the grocery store, and at the park the guys take over each other's cell phones.
Punishment: Sal is locked in a room with complete strangers who try to solve riddles in order to get out (like a strategy escape room). But, in the middle of solving the riddles, Sal must pee his pants in front of all the strangers. Afterwards, he must finish figuring out how to escape while wearing soiled pants.",,,,,
93,18,"""Blind Justice""","August 13, 2015",Sal,0.92[88]
"The guys get punchy while giving boxing lessons, and head to the mall where they share the gift of music with strangers.
Punishment: While wearing the infamous blacked-out sunglasses, Sal poses as a prison inmate thinking he's going to give a presentation to a group of troubled teens, when he's actually speaking at a senior citizen center.",,,,,
94,19,"""Tied and Feathered""","August 20, 2015",Murr,0.96[89]
"The guys teach a crash course in sorry behavior, go head-to-head settling bizarre debates at a discount store, and spread good news at the mall.
Punishment: Murr is chained to a park bench and is forced to endure whatever punishments the other Jokers send to him, such as being doused in maple syrup and feathered, getting hit by tennis balls, having a wood chipper pointed at him, and spit-out fruits and vegetables.",,,,,
95,20,"""Smushed""","August 27, 2015",Q,0.98[90]
"The guys team up for security presentations, hold hands with others at the park, and compete head-to-head stumping each other at a florist.
Punishment: Q has to do whatever the other guys tell him to do while dressed up as ""Smush"" the clown at a children's birthday party.",,,,,
96,21,"""Live Punishment Special""","September 3, 2015",Joe,1.74[91]
"This live one-hour special is hosted by Howie Mandel in New York City to commemorate the show's 100th episode. The pre-taped challenges shown: The guys conduct interviews while the others try to make them laugh from behind a window, fake injuries at a grocery store, and cross off their ""bucket list"" items.
Punishment: During the one-hour special, all 4 are punished, in front of a live audience, for the second time, walking a tight-rope, high in the air. Although all four Jokers have to walk a tight-rope five stories above NYC, Joe is the loser of the pre-taped challenges. He has to reprise his role as ""Captain Fatbelly"" from a previous punishment. The Jokers who attempt a walk on the tight-rope earn $10,000, while the Joker who walked the farthest earns $50,000. All the prize winnings go to their charities. Q is the only one to make it across the whole rope, making him the winner. Murr walks 9.7 feet, Sal walks 9.2 feet, and Joe walks 5 feet.",,,,,
97,22,"""The Big Uneasy""","September 10, 2015",Sal,0.58[92]
"The guys visit New Orleans and team up to steal sips from people's drinks at a bar, work with the wheel of voo-doom, and crash a horse and buggy ride.
Punishment: Sal and the Jokers head to the New Orleans swamp, where Sal dresses as a Bog Monster for an ongoing tour. At the end, Sal is surprised by another Bog Monster that is camouflaged behind him.",,,,,
98,23,"""Hopeless and Changeless""","September 24, 2015",Murr,0.70[93]
"The guys ask people at the park if they agree or disagree with their bizarre points of view, team up to give lessons on real estate, and complete three assigned tasks at a greeting card store.
Punishment: Murr has to sell concessions to patrons at a horse race track, and cannot give any change back to them if they buy from him. After drawing an angry crowd, he ends up escaping on a track cart.",,,,,
99,24,"""Stripped of Dignity""","October 8, 2015",Joe,0.87[94]
"The guys do some babysitting and ask strangers to watch their kid while running an errand. They also conduct taste tests with grocery store shoppers while asking unrelated survey questions written by the other Jokers.
Punishment: Joe has to pose as a stripogram at a park using different outfits. He has to find whomever has ordered a striptease. Joe strips several outfits such as a football player and police officer only to find out that nobody has ordered a stripogram. When Joe finds out, he retaliated by strip teasing Sal.",,,,,
100,25,"""The Taunted House""","October 15, 2015",Sal,0.98[95]
"The guys work at a pizza parlor, and then ask strangers to translate text messages written in Spanish on Wall Street.
Punishment: Sal has to go into a haunted house to blow out candles in different rooms, each with something to scare him.",,,,,
101,26,"""Doomed""","October 22, 2015",Murr,0.71[96]
"The jokers act as tailors, and ask strangers if they can borrow their phones on the streets.
Punishment: 3 months prior, Murr was asked to continue shaving his chest (as he does every week), except for a circle around his nipples (so it looked like a coconut bra). The day of his punishment, he must walk around showing off his chest. But it goes downhill as groups of people (in various group costumes) interrupt his ""punishment"", ending with a group who puts Murr in shackles. During this part, Sal yells out that it is revenge for Murr marrying his sister. They then proceed to burn his very sentimental blankie (which he still sleeps with every night since he was four and his grandmother knit it for him) in front of him. The punishment ends and Joe tells Murr that he had the REAL blankie the whole time and the one the group burned was a decoy. While Murr sighs in relief, Joe throws the real blankie into the fire anyway. However, about a day later, Murr revealed that his actual, real blankie was on his chair at home and Joe used another decoy to trick him. The chest hair had nothing to do with the actual punishment.",,,,,
Season 5 (2016),,,,,
[,,,,,
edit,,,,,
],,,,,
"
",,,,,
"No.
overall","No. in
season",Title,Original airdate,Losing Joker(s),"U.S. viewers
(millions)"
102,1,"""HellCopter""","February 11, 2016",Murr and Sal,1.04[97]
"The guys work as receptionists in a waiting room, and try to mingle with the stiff crowd at the world famous Madame Tussauds wax museum in New York.
Punishment: Murr and Sal made a bet that they can beat each other at a race. Since Murr doesn't weigh as much as Sal does, he will be forced to wear a fat suit while racing. The fat suit slowed him down to the point where he lost his momentum, thus causing Sal to win the race. They are then forced to ride a helicopter with one seat; Sal as the winner of the race receives the seat as his prize, and since Murr lost he has to sit on the side of a helicopter. Q and Joe (knowing that Murr doesn't have his fat suit on anymore), told the guys that the helicopter was about to crash, and the heaviest must jump out to prevent that from happening, Sal didn't think Joe was serious for a second (since he won the race), but with scared hesitation he jumped out of the helicopter into a lake, despite winning the seat.",,,,,
103,2,"""You're Cut Off""","February 18, 2016",Sal,0.81[98]
"The guys team up as employees at Unique Copy Center, do bizarre interviews with moviegoers, and stand up for ridiculous protests on the streets.
Punishment: At a major beer and wine event, Sal works as a vendor, and must cut people off from drinking any more alcohol.",,,,,
104,3,"""Ruffled Feathers""","February 25, 2016",Sal,0.77[99]
"The guys showcase their inventions to a focus group, and get off on the wrong foot at a shoe store.
Punishment: Sal has to give a presentation to zoo patrons, with Q chosen to ""assist"" him, all the while dealing with his fears of the animals attacking him.",,,,,
105,4,"""Stare Master""","March 3, 2016",Joe,0.87[100]
"The guys play copycat in the park while babysitting kids who are being told what to say and do, then head to the supermarket to play an epic battle of catch and release.
Punishment: Joe heads into a gym, and must constantly stare at people working out, until the others allow him to stop.",,,,,
106,5,"""Bidder Loser""","March 10, 2016",Q,0.65[101]
"The guys ask strangers to help them bury bizarre items in the park, go head-to-head to see who can cling to a car the longest, and play another game of ""repeat after me"".
Punishment: Q has to go to an auction house to sell his items when they come up, and every time the auction is about to close on them, he has to change his mind about it and take them back. The last item is supposedly his tires, and he must let them go.",,,,,
107,6,"""The Good, The Bad, and the Punished""","March 24, 2016",Q,0.88[102]
"The guys act as crabby NYC cab drivers and try to solicit undeserved congratulations from park goers.
Punishment: Dressed as a sheriff, Q has to ""arrest"" outlaws in a Western setting.",,,,,
108,7,"""Putting the P in Pool""","March 31, 2016",Joe,0.85[103]
"The guys team up acting as crummy cashiers at a grocery store, head to the mall to play a touching game involving laser pointers, and confess to strangers at the park.
Punishment: Joe must announce to everybody at a public swimming pool, that he is currently urinating in the pool.",,,,,
109,8,"""Statue of Limitations""","April 7, 2016",Sal,0.79[104]
"The guys act as inhospitable restaurant hosts and beg strangers to babysit their grandfathers.
Punishment: In Season 4, when Murr and Sal were playing a game of ""Do it Better"" in the park, Sal had taken the ""nose"" of a statue, and the Department of Homeland Security told Joe, Murr, and Q that they weren't allowed to play on a national landmark again. However, they never told Sal, so for his punishment, he must sit face-to-face with the Director of Homeland Security, explaining his behavior, while the other guys are telling the director what to say and do. Three weeks later, a group of representatives from the Department of Homeland Security go up to the jokers, while Sal thinks it's a challenge, and pretend to shuts the show for the summer. The jokers then reveal that it was all a set-up, making this the longest punishment in the show's history.",,,,,
110,9,"""Brother of the Sisterhood""","April 14, 2016",Q,0.83[105]
"The guys encourage strangers to fill out their questionnaires with a broken hand in a waiting room, and then head to the market where they solicit strangers for money they don't deserve.
Punishment: Q poses as a professional and award-winning women's rights blogger at a feminist event and has to ""respectfully disagree"" with whatever statements are made.",,,,,
111,10,"""Dark Side of the Moon""","April 21, 2016",Murr,0.85[106]
"The guys go head-to-head making bizarre passes at supermarket shoppers and act as reporters asking ridiculous questions written by the other guys.
Punishment: Murr must volunteer for a free prostate exam in front of strangers at a health seminar.",,,,,
112,11,"""Whose Phone Is Ringing?""","April 28, 2016",Sal,0.68[107]
"The guys go face to face hitting the bulls-eye at a clothing store, and go head to head in a focus group sabotaging each other with strange inventions.
Punishment: Sal has to pose as an author with a book at an authors' presentation while his phone continuously plays an annoying ringtone, to the audience's growing frustration.",,,,,
113,12,"""Centaur of Attention""","May 5, 2016",Murr,0.75[108]
"The guys compete head to head undermining each other in a focus group, spread much confusion while teaming up at a bagel shop, and pass ridiculous notes to strangers at the park.
Punishment: Dressed in his centaur costume from a previous punishment, with deer antlers added, Murr must survive a five-mile jog to his parents' house while the other Jokers are hunting for him.",,,,,
114,13,"""Browbeaten""","May 12, 2016",Murr,0.84[109]
"The guys take name calling to new heights as receptionists and try to get donations for bogus charities at a pizza shop.
Punishment: Murr must have his eyebrows, his facial hair and his head shaved until completely bald, and then must apply for a new driver's license, looking the way he is, much to his displeasure.",,,,,
115,14,"""The Coward""","July 21, 2016",Sal,0.95[110]
"The guys show who's boss while working the counter at a fast-food joint, and then whisper sweet nothings to strangers at the supermarket.
Punishment: Sal must help a cow give birth.",,,,,
116,15,"""Virtual Insanity""","July 28, 2016",Sal,1.03[111]
"The guys team up to bark up the wrong tree at a pet store, team up to play a game of catch with groceries in the market, and go head-to-head trying to get strangers' signatures for ridiculous causes.
Punishment: Sal is locked in a virtual reality room, where he is forced to play a horror game entitled ""Sisters"" while the crew redecorates the room to resemble the setting of the game.",,,,,
117,16,"""Laundry Day""","August 4, 2016",Joe,1.02[112]
"The guys go head-to-head on the prowl for partners in crime at a supermarket, and then throw caution to the wind as helpless romantics in the park.
Punishment: Joe has to be the one-man pep rally squad shooting t-shirts from a shirt canon at the Philadelphia Soul arena football game. Unbeknownst to him, the prizes are outfits straight from his own wardrobe.",,,,,
118,17,"""Water Torture""","August 11, 2016",Sal,0.78[113]
"The guys head to the mall completing challenges while spinning the ""Wheel of Faces"", play another round of ""Did I Deserve That?"", and save strangers from being shot with a water gun while saying something very awful to the stranger.
Punishment: Although initially meant to be the final challenge of the episode, the other guys turn Sal's growing annoyance with the child actors into a punishment.",,,,,
119,18,"""Hitting the Wrong Note""","August 18, 2016",Joe,0.83[114]
"The guys share sad stories in the park, hoping to get some sympathy back, then go head-to-head sharing new video game ideas in a focus group, then head to the floral shop going head-to-head to stump each other.
Punishment: Joe is tricked into dishonoring a fake deceased boy's family at a (fake) funeral held in a Mandarin community in New York.",,,,,
120,19,"""Heckle and Hide""","August 25, 2016",Q,0.91[115]
"The guys ask strangers to hold a random object for them chosen by the other guys in the grocery store, then team-up and teach business seminars, controlled by the others.
Punishment: Q poses as a little league dad watching the game, where he must do and say whatever he is told by the other guys.",,,,,
121,20,"""The Chairman""","September 15, 2016",Q,0.73[116]
"The guys do and say whatever they are told, while barefoot at a department store, and start conversations with strangers using a single word in the park.
Punishment: Q must spend time in ""The Death Chair"", a remote controlled wheelchair with a bullhorn, a leaf blower and a confetti cannon attached to it, all completely controlled by the other guys.",,,,,
122,21,"""Wrapper's Delight""","September 22, 2016",Joe,0.69[117]
"The guys pose as waiters in a Hooters restaurant, try to get people in a mall to remember lyrics to a song, and go head-to-head invading people's personal space in the park.
Punishment: Joe is sent on a small treasure hunt looking for clues. The final item that he finds is a paper that reads ""you shouldn't have left your house."" Upon returning to his house, Joe discovers that the entire interior has been covered in wrapping paper while he was gone, and his photos have been stolen by the other guys and replaced with inappropriate photos.",,,,,
123,22,"""Ash Clown""","October 6, 2016",Murr,0.80[118]
"The guys are at a sunglasses store doing and saying whatever the guys tell them to do. Then they go to the store, going head-to-head posing as workers trying to get messages across through shoppers, and then get people on their side in a ridiculous protest.
Punishment: At an elementary school ""career day,"" Murr has to pose as an employee for his own company that he operates, which turns out to be a pet cremator/grandparents' divorce lawyer, and he has to explain his ""career"" to the uncomfortable audience.",,,,,
124,23,"""Spider Man""","October 13, 2016",Q,0.61[119]
"The guys do and say whatever they are told, while at a buffet restaurant, team-up for construction presentations at a hardware store, and play another game of ""repeat after me"".
Punishment: Q's fear of spiders is put to the test when he has several tarantulas placed on him while strapped down to a board.",,,,,
125,24,"""Stage Fright""","October 20, 2016",Q,0.62[120]
"The jokers team up to work at a pawn shop, try to give free hugs after incredibly bizarre apologies in the park, and then complete designated tasks while riding the Roosevelt Island Tramway.
Punishment: Q has to take part in a musical in front of some old firemen buddies.",,,,,
126,25,"""Training Day""","October 27, 2016","Joe, Sal, and Murr",0.82[121]
"The guys interact with supermarket shoppers while wearing jingle vests, and play another game of ""Don't I Know You?"" in the park.
Punishment: Because of the musical Q went through in ""Stage Fright"", he makes Joe, Sal, and Murr go through the Fire Academy's training course in the fourth triple punishment, and the second time with Joe, Sal and Murr as the losers for his revenge from the last punishment. Joe had to take an axe through 1 of 2 roof windows that were either pictures of his wife and dogs or his baby daughter. Murr had to scale down a building on a rappel while being confronted by Sloppy Joe (as revenge for Q's punishment in ""Car Sick""), Fat Crow, and the doctor who gave him the prostate exam (from ""Dark Side of the Moon"") along the way. For Sal, he had to climb a ladder to rescue a cat from a tree, but he froze at the start. In the end, Q hosed down all 3 losing jokers until they respected him.",,,,,
127,26,"""Nitro Circus Spectacular""","November 3, 2016","Murr, then Sal",1.23[122]
"In this supersized 2-hour episode, a Nitro Circus/X-Games inspired obstacle course was presented and aside from clips of regular challenges filmed prior to this live special, viewers were shown clips of the Jokers preparing to run the course; the Joker who then ran the course the fastest won $100,000 for a charity of their choice. As Q was injured during the guys' training sessions with Travis Pastrana, he was not cleared by doctors to compete in the actual obstacle course and chose Joey Fatone to perform in his place again. Challenges included getting strangers to watch their apartment, a trip back to the Castle of White, and a spin on the Wheel of ""Now!"".
Punishment: This episode featured 2 punishments - one for the losing joker after a regular episode's worth of challenges played and an automatic punishment for the joker who received the most votes from the public leading up to and during this episode. Murr lost the regular challenges and had to participate as an obstacle for professional jumpers to bike around and over on the Nitro Circus track. Sal, who got the most votes from the public, was hoisted into the air via harness and swung around for a bit. He was brought down to rest for a minute before being hoisted again and sent flying into a giant ""cake"". Despite the Punishments, Murr had the fastest time, and won $100,000 for his Charity: Make a Wish Foundation.",,,,,
Season 6 (2017),,,,,
[,,,,,
edit,,,,,
],,,,,
"
",,,,,
"No.
overall","No. in
season",Title,Original airdate,Losing Joker(s),"U.S. viewers
(millions)"
128,1,"""Swim Shady""","February 9, 2017",Sal,0.97[123]
"The guys act as receptionists in a waiting room and ask strangers at the park for advice about their personal dilemmas.
Punishment: Sal invades a water aerobics class to take pictures for a website. He must invade the students' privacy in order to get shots.",,,,,
129,2,"""Lady and the Tramp""","February 16, 2017",Murr,0.83[124]
"The guys play a game of ""try not to laugh"" using the infamous two-way mirror and compete head-to-head in the grocery store to see who can get a customer to try more samples.
Punishment: In a surprise punishment, Murr enters a car to drive to what he thinks is a challenge but it turns out to be Murr taking a bumpy ride on a boat dressed as the Statue of Liberty.",,,,,
130,3,"""The Parent Trap""","February 23, 2017",Joe,0.76[125]
"The guys go head-to-head getting stuck in a grocery post-it showdown, ask strangers for questionable quotes at the park, and give ""sound"" financial tips to hopefuls as advisors.
Punishment: Being the only parent out of the quartet, Joe must enter an indoor playground for children, and instruct other parents on how to better parent their children.",,,,,
131,4,"""Catastrophe""","March 2, 2017",Sal,0.82[126]
"The guys pose as trainees at a juice bar and compete at a mall to untangle their phone cords before having their pants pulled down by a special actor.
Punishment: Sal must go through what Q went through in ""Spider Man"" with his biggest fear, cats.",,,,,
132,5,"""Vampire Weakened""","March 9, 2017",Murr,0.85[127]
"The jokers work at an ice cream parlor, and get strangers to help them watch Joe's dogs at the park.
Punishment: Murr is told he has to perform in front of an audience as Dracula to deliver his character's monologues. In a surprise twist, it turns out he actually has to sing and dance along with a gospel choir while wearing his Dracula outfit.",,,,,
133,6,"""Footloose""","March 23, 2017",Sal,0.84[128]
"The guys compete in a ""try not to laugh"" challenge while calling out ridiculous names the other guys have written for them, and then compete at the park to see whose online dating profile is better.
Punishment: At the New York Boat Show, Sal must rub people's feet using various condiments.",,,,,
134,7,"""X-Man""","March 30, 2017",Q,0.75[129]
"The guys compete in a waiting room trying to not to laugh in the first ever four-way challenge, ask park-goers if they agree or disagree on an odd topic, and try to lead a kid's art class as the teachers.
Punishment: With Q taking the final loss where he refused to cross out a child's painting with red paint, the surprise punishment forced him to paint a red ""X"" over every painting instead.",,,,,
135,8,"""Medium, Well Done""","April 6, 2017",Sal,1.04[130]
"The guys compete head-to-head posing odd TV shows as execs to the public and team up to work the counter at a BBQ joint.
Punishment: In Season 2, Sal had to pose as a psychic for his punishment that doesn't end until he predicts something accurate. Now, an actual psychic named Jesse Bravo is predicting Sal's life from the other jokers (most of it didn't actually happen). Sal must say that those predictions are correct.",,,,,
136,9,"""Drum and Drummer""","April 13, 2017",Q and Joe,0.77[131]
"The guys try to get shoppers to repeat an odd catchphrase given by the other guys and do what they are told as psychoanalysts.
Punishment: Q and Joe must participate in a drumline marching band, followed by dancing.",,,,,
137,10,"""The Butt of the Joker""","April 20, 2017",Murr,0.88[132]
"The guys team up to work in pairs giving presentations about living life to its fullest while one of them hypes the other up as a member of the audience and pose as janitors giving responses to questions and statements over walkie-talkies.
Punishment: Murr has to yank and put out cigarettes from the hands of smokers. The punishment doesn't end until Murr steals a whole pack of cigarettes from a smoker.",,,,,
138,11,"""Stuffed Turkey""","April 27, 2017",Q,0.78[133]
"The guys act as not-so-handy-men assembling furniture, team up to drop underwear into shopper's bags at the mall, and mistake strangers for someone they know at the supermarket.
Punishment: Q is forced to attend a speed dating event while his hands have two very large turkey legs attached to them, and the punishment does not end until he eats all of the turkey.",,,,,
139,12,"""Crickets""","May 4, 2017",Sal,0.71[134]
"The guys work as salesmen for Lids and team up to serve some confused customers at Joey Fatone's hot dog joint.
Punishment: Sal has to perform a stand-up comedy routine for business people at the end of a three-day conference, but must purposely perform badly.",,,,,
140,13,"""Universal Appeal""","May 11, 2017",Q,0.94[135]
"In an hour-long special episode sponsored by Universal Orlando Resort, the guys do crazy challenges around the park. Their first challenge has them playing line employees for Transformers: The Ride. Except Sal, who brought in Harry Potter actor Matthew Lewis to fill in for him, the jokers awkwardly rode Jurassic Park: The Ride in the second challenge. Other challenges include misguiding park goers around the park and trying to find their missing relatives.
Punishment: Q is dressed as a spider and has to perform on stage in a barnyard show at the Toon Lagoon Theater; he also has to protect the barnyard from a mixed martial arts master dressed as a cow.",,,,,
141,14,"""Paradise Lost""","July 13, 2017",Murr,1.17[136]
"The guys attempt to get tips as fortune tellers, go head-to-head getting strangers to pass along messages, ask strangers if their ""proposal"" is ready, written by the other guys, team up to give presentations on Hawaiian culture, and invade stranger's towel space at the beach.
Punishment: As revenge for the tarantula punishment in Season 5, Q punishes Murr with his #2 fear: swimming with sharks.",,,,,
142,15,"""Mime and Punishment""","July 20, 2017",Q,0.94[137]
"The guys do and say what they are told while posing as meditation instructors, and attempt to get secrets from strangers.
Punishment: Q is handcuffed to a mime for 24 hours while all of the jokers are on tour.",,,,,
143,16,"""Three Men and Your Baby""","July 27, 2017","Sal, Q, and Murr",0.83[138]
"The guys pose as photographers, and get strangers to fill out questionnaires with messed up hands.
Punishment: As revenge for the parent punishment in ""The Parent Trap"", Joe forces the guys to pitch their television show ""3 Men & Your Baby"", where they give parental tips knowing nothing about parenting to parents and their babies.",,,,,
144,17,"""The Q-Pay""","August 3, 2017",Murr,1.02[139]
"The guys get strangers' help to reply to messages in a waiting room, compete head-to-head playing each other's ""wingman"" at a mingling event, and attempt to get strangers' encouragement in odd dilemmas.
Punishment: Murr must wear Q's hair as a wig for the rest of the season and must also apply for a new passport photo while wearing Q's hair.",,,,,
145,18,"""Rubbed the Wrong Way""","August 10, 2017",Joe,0.96[140]
"The guys ""encourage"" strangers to reply to their texts at the food court, and team up going head-to-head to play catch with other people's groceries at the supermarket.
Punishment: Joe is forced to portray a genie in a play; however, the guys control his harness, so they kept swinging Joe into the props and set pieces the entire time.",,,,,
146,19,"""Flatfoot the Pirate""","August 17, 2017",Sal,0.91[141]
"The guys try to justify a humiliating soaking at a mall retailer, play the ""Laugh Man Standing"" game, and record stranger's conversations at the park.
Punishment: Sal poses as a pirate for a children's event, but the real punishment is he must drink a cup of a woman's breast milk. Murr, who is assisting Sal in the event, is tricked into thinking that he lost as well and drinks some breast milk as well, ultimately to find that he didn't lose after all. In the end, the ""crew"" mutinies against Sal and force him to ""walk the plank"" - right into some murky filthy waters of the New Jersey river.",,,,,
147,20,"""Remember the Pact""","August 24, 2017",Murr,0.96[142]
"Murr, Sal, Joe and Q beg supermarket shoppers to hold on to a weird item for them, then make conversation in the park utilizing some outrageous words. Later, the guys volunteer to help teach tech to senior citizens.
Punishment: After a successful secret pact goes off without a hitch, Murr's turn is turned into an impromptu punishment; he has to show his father on the computer what is on his cellphone such as embarrassing videos, pictures, etc.",,,,,
148,21,"""Silence of the Lame""","August 31, 2017",Sal,0.92[143]
"The guys compete head-to-head as toy inventors and must get strangers to approve emails written by the other guys.
Punishment: In a crowded mall's food court, Sal has to shush people for no reason. Eventually, he is reported by someone and he runs away and hides behind a counter out of embarrassment.",,,,,
149,22,"""The Walking Dread""","September 14, 2017",Sal,0.83[144]
"The guys pose as employees at a botanical garden and team up to take turns dipping fries into other people's food at the food court.
Punishment: Sal is forced to enter a sewer and rescue his nieces while being attacked by zombies.",,,,,
150,23,"""Take Me Out of The Ball Game""","September 28, 2017",Joe,1.00[145]
"The guys completed assigned tasks at Universal Orlando Resort's Volcano Bay water park, go head-to-head playing another round of TP basketball shootout at the grocery store, and go head-to-head playing a game of hot potato with a strange item across a stranger in the park.
Punishment: Joe goes to Citi Field, home of the New York Mets, and steals autographed baseballs that Noah Syndergaard autographs for children. Eventually, a furious mother snaps at Joe, leading Joe to leave embarrassed.",,,,,
151,24,"""The Party Crasher""","October 5, 2017",Murr,0.74[146]
"The guys dodge shakedowns at the park, go head-to-head to see who can cling to a car the longest, and go head-to-head playing a game of attaching ribbons to strangers.
Punishment: Murr must attend a cocktail party while repeatedly trying to pin Kayla Harrison, an Olympic Judo gold medalist.",,,,,
152,25,"""Dover and Out""","October 12, 2017",Q,0.77[147]
"The guys survey employees about customer satisfaction, and go cloud watching with strangers in the park.
Punishment: Q poses as an artist presenting a town mural to the town of Dover, New Jersey to its residents (including the whole board and the mayor) that says ""DOVER SUCKS"", and must talk his way out of it.",,,,,
153,26,"""G.I. Jokers""","November 2, 2017","Murr, then Q",0.87[148]
"In this hour-long season finale that's part salute-to-the-troops, part pre-recorded-challenges, the Jokers team up to give phony presentations about aviation at the American Airpower Museum, plant American flags onto unsuspecting shoppers, and try to get a handshake after showing off their dubious rewards. The episode also features three veterans who receive the same three tattoos Q, Murr and Sal got in ""The Permanent Punishment"" and a visit to the Wounded Warrior Project.
Punishment: Murr rides shotgun in a fighter aircraft; then later, Q is forced to watch as his prized Jeep is destroyed by a M18 Hellcat.",,,,,
Season 7 (2018),,,,,
[,,,,,
edit,,,,,
],,,,,
"
",,,,,
"No.
overall","No. in
season",Title,Original airdate,Losing Joker(s),"U.S. viewers
(millions)"
154,1,"""The Marathon Man""","February 1, 2018",Murr,0.89[149]
"The guys go to Top of the Rock for some awkward interactions, and play a game of ""Did They Deserve That?"" at a bagel shop.
Punishment: As revenge for the Gary Busey incident, Sal punishes Murr by forcing him to run across the Brooklyn Bridge with huge shoes and minimal clothing while it is below freezing outside, and he gets soaked with ice cold water on the way. When he finishes the run, he gets drenched with 2 giant buckets of ice cold water and some confetti.",,,,,
155,2,"""Guilty as Charged""","February 8, 2018",Q,0.65[150]
"The guys get strangers to watch their backs them from angry security guards at a grocery store, and team up to teach presentations on UFOs.
Punishment: Q works at the front door of a metal show collecting cover charges for a band. Later, he goes into the audience and an announcement is made that the show is free, so everyone goes after him for their money.",,,,,
156,3,"""No Good Deed""","February 15, 2018",Sal and Joe,0.63[151]
"The guys compete head-to-head posing odd TV shows as execs to the public, and do and say what they are told at a department store.
Punishment: At a fundraising event for the Algonquin Arts Theatre, Joe and Sal present to charity donors how they spent the money on ridiculous and insensitive projects.",,,,,
157,4,"""Stripteased""","March 1, 2018",Murr,0.68[152]
"The guys do and say whatever they're told while posing as dentists, and then compete head-to-head in trying not to laugh while the other makes a hilarious scene at a donut shop.
Punishment: Before the punishment, Frank the prostate exam doctor injects Murr with a drug that he is mildly allergic to. The jokers watch Murr perform a strip-tease with Australia's Thunder from Down Under while dressed in a cowboy hat and boots.",,,,,
158,5,"""Indecent Proposal""","March 22, 2018",Sal,0.69[153]
"The guys attempt to trick unknowing receptionists with ridiculous disguises and try to get approval for an e-mail they’re writing.
Punishment: Sal, acting as a dance teacher’s assistant, asks couples if they’d be willing to meet them in a more passionate setting, similar to the movie Indecent Proposal. Later on, he shows the couples a briefcase full of money he has.",,,,,
159,6,"""Turning the Tables""[154]","March 29, 2018",Joe,TBA
"The guys take out the remote a controlled chairs for a spin, work at a virtual reality gaming center, and attempt to blame strangers for unusual events.
Punishment: 8 breakaway tables are placed in a busy restaurant and Joe must destroy every table by forcefully body-slamming into them, without knowing which table is real or fake. This is later revealed as Murr's revenge from the ""Party Crasher"" punishment.",,,,,
